Mot / expression,Phrase du poème (non réduite),Définition précise,Synonymes littéraires,Auteur / Œuvre
L’onde,« Sur l’onde calme et noire où dorment les étoiles / La blanche Ophélia flotte comme un grand lys. »,"Surface de l’eau, souvent calme ou légèrement mouvante.","vague, flot, nappe d’eau",Rimbaud — Ophélie
Hallalis,« On entend dans les bois lointains des hallalis. »,Cris de chasse annonçant la poursuite ou la mise à mort du gibier.,"fanfares, appels de chasse",Rimbaud — Ophélie
Romance,« Voici plus de mille ans que sa douce folie / Murmure sa romance à la brise du soir. »,"Chant simple, mélodieux, souvent mélancolique.","ballade, cantilène",Rimbaud — Ophélie
Fantôme blanc,"« Passe, fantôme blanc, sur le long fleuve noir. »","Apparition pâle, spectrale, irréelle.","spectre, ombre, apparition",Rimbaud — Ophélie
Saules frissonnants,« Les saules frissonnants pleurent sur son épaule. »,Saules dont les feuilles tremblent légèrement au vent.,"saules tremblants, feuillages vibrants",Rimbaud — Ophélie
Âpre liberté,« T’avaient parlé tout bas de l’âpre liberté. »,"Liberté rude, sévère, difficile à porter.","liberté farouche, liberté dure",Rimbaud — Ophélie
Aune,"« Elle éveille parfois, dans un aune qui dort, / Quelque nid, d’où s’échappe un petit frisson d’aile. »","Arbre des zones humides, proche des rivières.",aulne,Rimbaud — Ophélie
Chant mystérieux,« Un chant mystérieux tombe des astres d’or. »,"Mélodie énigmatique, venue d’une source inconnue.","murmure secret, voix obscure",Rimbaud — Ophélie
Nénuphars froissés,« Les nénuphars froissés soupirent autour d’elle. »,Plantes aquatiques pliées ou agitées par le passage.,"lotus froissés, feuilles d’eau",Rimbaud — Ophélie
Râle,"« C’est que la voix des mers folles, immense râle, / Brisait ton sein d’enfant, trop humain et trop doux. »","Long souffle rauque, plainte profonde.","gémissement, plainte, souffle",Rimbaud — Ophélie
Cavalier pâle,"« C’est qu’un matin d’avril, un beau cavalier pâle, / Un pauvre fou, s’assit muet à tes genoux ! »","Jeune homme chevaleresque, fragile ou spectral.","chevalier blême, jeune homme livide",Rimbaud — Ophélie
Se fondais,« Tu te fondais à lui comme une neige au feu. »,"Se dissoudre, disparaître en s’unissant.","se mêler, se confondre",Rimbaud — Ophélie
Visions étranglaient,« Tes grandes visions étranglaient ta parole / Et l’Infini terrible effara ton œil bleu ! »,Images mentales intenses empêchant de parler.,"obsessions, hallucinations",Rimbaud — Ophélie
Effara,« Et l’Infini terrible effara ton œil bleu ! »,"Effrayer soudainement, épouvanter.","terrifier, épouvanter",Rimbaud — Ophélie
L’Infini terrible,« Et l’Infini terrible effara ton œil bleu ! »,L’immensité cosmique perçue comme menaçante.,"immensité effrayante, absolu redoutable",Rimbaud — Ophélie
Douce folie,« Voici plus de mille ans que sa douce folie / Murmure sa romance à la brise du soir. »,"Égarement tendre, poétique, presque charmant.","délire doux, égarement tendre",Rimbaud — Ophélie
Longs voiles,"« Flotte très lentement, couchée en ses longs voiles… »","Draperies flottantes entourant Ophélie, évoquant un linceul.","étoffes, draperies",Rimbaud — Ophélie
Front rêveur,« Sur son grand front rêveur s’inclinent les roseaux. »,"Front exprimant la rêverie, la douceur mélancolique.","front pensif, front méditatif",Rimbaud — Ophélie
Mers folles,"« C’est que la voix des mers folles, immense râle… »","Océans déchaînés, symboles de chaos intérieur.","flots furieux, océans déments",Rimbaud — Ophélie
Astres d’or,« Un chant mystérieux tombe des astres d’or. »,"Étoiles brillantes, lumineuses, presque sacrées.","étoiles dorées, astres lumineux",Rimbaud — Ophélie
Grand lys,« La blanche Ophélia flotte comme un grand lys. »,"Fleur blanche, symbole de pureté et de mort douce.","lis blanc, fleur immaculée",Rimbaud — Ophélie
Anadyomène,Le titre : « VÉNUS ANADYOMÈNE » parodie la naissance de la déesse de la beauté en la plaçant dans un contexte sordide.,"« Anadyomène » signifie « qui sort de l’eau », référence à la naissance mythique de Vénus.","surgissante, émergente",Rimbaud — Vénus Anadyomène
Cercueil,"« Comme d'un cercueil vert en fer blanc, une tête de femme à cheveux bruns fortement pommadés… »","Coffre funéraire ; ici, image dégradante d’une baignoire assimilée à un cercueil.","bière, boîte funèbre",Rimbaud — Vénus Anadyomène
Fer blanc,"« Comme d'un cercueil vert en fer blanc, une tête de femme… »","Métal bon marché, mince et terne.","tôle, métal pauvre",Rimbaud — Vénus Anadyomène
